sample_index,time_sec,bar_left_time_sec_rendered,bar_right_time_sec_rendered,gradcam_scaled_amplitude_rendered,gradcam_normalized_approx,svg_group_id,svg_left_x,svg_right_x,svg_baseline_y,svg_top_y
0,0,-0.000250001,0.000250001,0.000000002,0.000000002,patch_10,114.579119,114.735165,461.176571286,461.176571
1,0.0005,0.000250001,0.000749999,0.000000002,0.000000002,patch_11,114.735165,114.89121,461.176571286,461.176571
2,0.001,0.000749999,0.001250001,0.000000002,0.000000002,patch_12,114.89121,115.047256,461.176571286,461.176571
3,0.0015,0.001250001,0.00175,0.000000002,0.000000002,patch_13,115.047256,115.203301,461.176571286,461.176571
4,0.002,0.00175,0.002250001,0.000000002,0.000000002,patch_14,115.203301,115.359347,461.176571286,461.176571
5,0.0025,0.002250001,0.00275,0.000000002,0.000000002,patch_15,115.359347,115.515392,461.176571286,461.176571
6,0.003,0.00275,0.003250002,0.000000002,0.000000002,patch_16,115.515392,115.671438,461.176571286,461.176571
7,0.0035,0.003250002,0.00375,0.000000002,0.000000002,patch_17,115.671438,115.827483,461.176571286,461.176571
8,0.004,0.00375,0.004249999,0.000000002,0.000000002,patch_18,115.827483,115.983528,461.176571286,461.176571
9,0.0045,0.004249999,0.004750001,0.000000002,0.000000002,patch_19,115.983528,116.139574,461.176571286,461.176571
10,0.005,0.004750001,0.005249999,0.000000002,0.000000002,patch_20,116.139574,116.295619,461.176571286,461.176571
11,0.0055,0.005249999,0.005750001,0.000000002,0.000000002,patch_21,116.295619,116.451665,461.176571286,461.176571
12,0.006,0.005750001,0.006249999,0.000000002,0.000000002,patch_22,116.451665,116.60771,461.176571286,461.176571
13,0.0065,0.006249999,0.006750001,0.000000002,0.000000002,patch_23,116.60771,116.763756,461.176571286,461.176571
14,0.007,0.006750001,0.00725,0.000000002,0.000000002,patch_24,116.763756,116.919801,461.176571286,461.176571
15,0.0075,0.00725,0.007750001,0.000000002,0.000000002,patch_25,116.919801,117.075847,461.176571286,461.176571
16,0.008,0.007750001,0.00825,0.000000002,0.000000002,patch_26,117.075847,117.231892,461.176571286,461.176571
17,0.0085,0.00825,0.008750002,0.000000002,0.000000002,patch_27,117.231892,117.387938,461.176571286,461.176571
18,0.009,0.008750002,0.00925,0.000000002,0.000000002,patch_28,117.387938,117.543983,461.176571286,461.176571
19,0.0095,0.00925,0.009749999,0.000000002,0.000000002,patch_29,117.543983,117.700028,461.176571286,461.176571
