region_index,start_time_sec_rendered,end_time_sec_rendered,start_svg_x,end_svg_x,polygon_vertex_count,source_threshold_expression
0,0.423000001,0.442999999,207.769465,212.762919,84,grad_cam_upsampled > 0.3
1,0.450500001,0.539500002,214.635465,236.856338,360,grad_cam_upsampled > 0.3
2,1.349500002,1.352500001,439.091247,439.840265,16,grad_cam_upsampled > 0.3
3,1.419500002,1.443000002,456.568338,462.435647,98,grad_cam_upsampled > 0.3
4,1.448500002,1.537,463.808847,485.904883,358,grad_cam_upsampled > 0.3
5,2.145500002,2.150999998,637.830738,639.203937,26,grad_cam_upsampled > 0.3
6,2.245499999,2.2505,662.79801,664.046374,24,grad_cam_upsampled > 0.3
7,2.254500001,2.271999998,665.045065,669.414337,74,grad_cam_upsampled > 0.3
8,2.343500002,2.3605,687.265938,691.510374,72,grad_cam_upsampled > 0.3
9,2.367000002,2.455999999,693.133247,715.354119,360,grad_cam_upsampled > 0.3
10,3.168499998,3.181999998,893.245937,896.616519,58,grad_cam_upsampled > 0.3
11,3.248500001,3.271499998,913.219756,918.962228,96,grad_cam_upsampled > 0.3
12,3.276499999,3.367499999,920.210592,942.93081,368,grad_cam_upsampled > 0.3
