sample_index,time_sec,predicted_ecg_rendered,marker_color_hex,marker_red_8bit,marker_green_8bit,marker_blue_8bit,jet_colormap_position_approx,jet_rgb_distance_8bit,svg_x,svg_y,svg_marker_path_id
0,0,-0.014205665,#000089,0,0,137,0.007843137,0,102.157901,192.079984,#C0_0_93f72b35f6
1,0.0005,-0.014210362,#000089,0,0,137,0.007843137,0,102.282738,192.080789,#C0_0_93f72b35f6
2,0.001,-0.01420395,#000089,0,0,137,0.007843137,0,102.407574,192.07969,#C0_0_93f72b35f6
3,0.0015,-0.014184812,#000089,0,0,137,0.007843137,0,102.53241,192.07641,#C0_0_93f72b35f6
4,0.002,-0.014154553,#000089,0,0,137,0.007843137,0,102.657247,192.071224,#C0_0_93f72b35f6
5,0.0025,-0.014115407,#000089,0,0,137,0.007843137,0,102.782083,192.064515,#C0_0_93f72b35f6
6,0.003,-0.014067544,#000089,0,0,137,0.007843137,0,102.906919,192.056312,#C0_0_93f72b35f6
7,0.0035,-0.014011758,#000089,0,0,137,0.007843137,0,103.031756,192.046751,#C0_0_93f72b35f6
8,0.004,-0.013948025,#000089,0,0,137,0.007843137,0,103.156592,192.035828,#C0_0_93f72b35f6
9,0.0045,-0.013872523,#000089,0,0,137,0.007843137,0,103.281428,192.022888,#C0_0_93f72b35f6
10,0.005,-0.013783309,#000089,0,0,137,0.007843137,0,103.406265,192.007598,#C0_0_93f72b35f6
11,0.0055,-0.013680792,#000089,0,0,137,0.007843137,0,103.531101,191.990028,#C0_0_93f72b35f6
12,0.006,-0.013566781,#000089,0,0,137,0.007843137,0,103.655938,191.970488,#C0_0_93f72b35f6
13,0.0065,-0.013445435,#000089,0,0,137,0.007843137,0,103.780774,191.949691,#C0_0_93f72b35f6
14,0.007,-0.013318342,#000089,0,0,137,0.007843137,0,103.90561,191.927909,#C0_0_93f72b35f6
15,0.0075,-0.013185864,#000089,0,0,137,0.007843137,0,104.030447,191.905204,#C0_0_93f72b35f6
16,0.008,-0.013045071,#000089,0,0,137,0.007843137,0,104.155283,191.881074,#C0_0_93f72b35f6
17,0.0085,-0.012888075,#000089,0,0,137,0.007843137,0,104.280119,191.854167,#C0_0_93f72b35f6
18,0.009,-0.01271288,#000089,0,0,137,0.007843137,0,104.404956,191.824141,#C0_0_93f72b35f6
19,0.0095,-0.012523232,#000089,0,0,137,0.007843137,0,104.529792,191.791638,#C0_0_93f72b35f6
20,0.01,-0.012323205,#000089,0,0,137,0.007843137,0,104.654628,191.757356,#C0_0_93f72b35f6
21,0.0105,-0.012115808,#000089,0,0,137,0.007843137,0,104.779465,191.721811,#C0_0_93f72b35f6
22,0.011,-0.011902121,#000089,0,0,137,0.007843137,0,104.904301,191.685188,#C0_0_93f72b35f6
23,0.0115,-0.011684974,#000089,0,0,137,0.007843137,0,105.029138,191.647972,#C0_0_93f72b35f6
24,0.012,-0.011464169,#000089,0,0,137,0.007843137,0,105.153974,191.610129,#C0_0_93f72b35f6
25,0.0125,-0.011236041,#000089,0,0,137,0.007843137,0,105.27881,191.571031,#C0_0_93f72b35f6
26,0.013,-0.011000433,#000089,0,0,137,0.007843137,0,105.403647,191.530651,#C0_0_93f72b35f6
27,0.0135,-0.010757998,#000089,0,0,137,0.007843137,0,105.528483,191.489101,#C0_0_93f72b35f6
28,0.014,-0.01051065,#000089,0,0,137,0.007843137,0,105.653319,191.446709,#C0_0_93f72b35f6
29,0.0145,-0.010262182,#000089,0,0,137,0.007843137,0,105.778156,191.404125,#C0_0_93f72b35f6
30,0.015,-0.010013703,#000089,0,0,137,0.007843137,0,105.902992,191.361539,#C0_0_93f72b35f6
31,0.0155,-0.009765778,#000089,0,0,137,0.007843137,0,106.027828,191.319048,#C0_0_93f72b35f6
32,0.016,-0.009521056,#000089,0,0,137,0.007843137,0,106.152665,191.277106,#C0_0_93f72b35f6
33,0.0165,-0.009282892,#000089,0,0,137,0.007843137,0,106.277501,191.236288,#C0_0_93f72b35f6
34,0.017,-0.009053755,#000089,0,0,137,0.007843137,0,106.402338,191.197017,#C0_0_93f72b35f6
35,0.0175,-0.008834694,#000089,0,0,137,0.007843137,0,106.527174,191.159473,#C0_0_93f72b35f6
36,0.018,-0.008627635,#000089,0,0,137,0.007843137,0,106.65201,191.123986,#C0_0_93f72b35f6
37,0.0185,-0.008433798,#000089,0,0,137,0.007843137,0,106.776847,191.090765,#C0_0_93f72b35f6
38,0.019,-0.008251724,#000089,0,0,137,0.007843137,0,106.901683,191.05956,#C0_0_93f72b35f6
39,0.0195,-0.008080859,#000089,0,0,137,0.007843137,0,107.026519,191.030276,#C0_0_93f72b35f6
40,0.02,-0.00792035,#000089,0,0,137,0.007843137,0,107.151356,191.002767,#C0_0_93f72b35f6
41,0.0205,-0.00776787,#000089,0,0,137,0.007843137,0,107.276192,190.976634,#C0_0_93f72b35f6
42,0.021,-0.007623436,#000089,0,0,137,0.007843137,0,107.401028,190.95188,#C0_0_93f72b35f6
43,0.0215,-0.007488408,#000089,0,0,137,0.007843137,0,107.525865,190.928738,#C0_0_93f72b35f6
44,0.022,-0.007363981,#000089,0,0,137,0.007843137,0,107.650701,190.907413,#C0_0_93f72b35f6
45,0.0225,-0.007250057,#000089,0,0,137,0.007843137,0,107.775538,190.887888,#C0_0_93f72b35f6
46,0.023,-0.007144396,#000089,0,0,137,0.007843137,0,107.900374,190.869779,#C0_0_93f72b35f6
47,0.0235,-0.007046086,#000089,0,0,137,0.007843137,0,108.02521,190.85293,#C0_0_93f72b35f6
48,0.024,-0.006954614,#000089,0,0,137,0.007843137,0,108.150047,190.837253,#C0_0_93f72b35f6
49,0.0245,-0.006869905,#000089,0,0,137,0.007843137,0,108.274883,190.822735,#C0_0_93f72b35f6
50,0.025,-0.006795389,#000089,0,0,137,0.007843137,0,108.399719,190.809964,#C0_0_93f72b35f6
51,0.0255,-0.006732187,#000089,0,0,137,0.007843137,0,108.524556,190.799132,#C0_0_93f72b35f6
52,0.026,-0.006677293,#000089,0,0,137,0.007843137,0,108.649392,190.789724,#C0_0_93f72b35f6
53,0.0265,-0.006630177,#000089,0,0,137,0.007843137,0,108.774228,190.781649,#C0_0_93f72b35f6
54,0.027,-0.006591253,#000089,0,0,137,0.007843137,0,108.899065,190.774978,#C0_0_93f72b35f6
55,0.0275,-0.006558614,#000089,0,0,137,0.007843137,0,109.023901,190.769384,#C0_0_93f72b35f6
56,0.028,-0.006529189,#000089,0,0,137,0.007843137,0,109.148738,190.764341,#C0_0_93f72b35f6
57,0.0285,-0.006500196,#000089,0,0,137,0.007843137,0,109.273574,190.759372,#C0_0_93f72b35f6
58,0.029,-0.006471512,#000089,0,0,137,0.007843137,0,109.39841,190.754456,#C0_0_93f72b35f6
59,0.0295,-0.006444206,#000089,0,0,137,0.007843137,0,109.523247,190.749776,#C0_0_93f72b35f6
60,0.03,-0.006417488,#000089,0,0,137,0.007843137,0,109.648083,190.745197,#C0_0_93f72b35f6
61,0.0305,-0.006389732,#000089,0,0,137,0.007843137,0,109.772919,190.74044,#C0_0_93f72b35f6
62,0.031,-0.006360815,#000089,0,0,137,0.007843137,0,109.897756,190.735484,#C0_0_93f72b35f6
63,0.0315,-0.006331845,#000089,0,0,137,0.007843137,0,110.022592,190.730519,#C0_0_93f72b35f6
64,0.032,-0.006304189,#000089,0,0,137,0.007843137,0,110.147428,190.725779,#C0_0_93f72b35f6
65,0.0325,-0.006278533,#000089,0,0,137,0.007843137,0,110.272265,190.721382,#C0_0_93f72b35f6
66,0.033,-0.006255544,#000089,0,0,137,0.007843137,0,110.397101,190.717442,#C0_0_93f72b35f6
67,0.0335,-0.006235222,#000089,0,0,137,0.007843137,0,110.521938,190.713959,#C0_0_93f72b35f6
