rank,participant,start_sample,start_time_sec,correlation,affine_nrmse,scale,offset
1,P11,255338,127.669,0.34300699648759525,0.10986151683765254,0.2337420401293106,-5.392124029442756e-05
2,P11,148999,74.4995,0.32323140397774136,0.11067870772482272,0.1878623889523677,-0.002027719383517714
3,P11,260474,130.237,0.31531067539111446,0.11099081280245944,0.2598966395710229,-0.0005405662318947704
4,P11,178860,89.43,0.3063697714980285,0.11133280421217905,0.30956918994968435,0.003960114823427227
5,P11,184764,92.382,0.2958523320674239,0.11172123065670939,0.34694440689316375,-0.001098468220786295
6,P11,282307,141.1535,0.28753415964280704,0.11201791489477002,0.20689455839140447,-0.00031114841515281395
7,P11,108070,54.035,0.2684541189551582,0.11266376158554135,0.16923510974634318,-0.0005077598055577546
8,P11,26271,13.1355,0.26636794328448254,0.11273147389416802,0.16773111996247964,-0.0020604327500616648
9,P11,235591,117.7955,0.2654816255470789,0.11276006955616129,0.13716970677078633,-0.0015582157907141174
10,P11,277349,138.6745,0.26396096635076505,0.11280889245811736,0.1490316151097423,-0.00204439583594053
11,P11,96245,48.1225,0.2636804870976454,0.1128178647049079,0.20984624104707808,-0.0016647360865653126
12,P11,85789,42.8945,0.25984752069051414,0.11293945117852146,0.2480728064645405,0.0035879417785580764
