sample_index,time_sec,bar_left_time_sec_rendered,bar_right_time_sec_rendered,gradcam_scaled_amplitude_rendered,gradcam_normalized_approx,svg_group_id,svg_left_x,svg_right_x,svg_baseline_y,svg_top_y
0,0,-0.00025,0.00025,-0.000000001,-0.000000001,patch_3,138.083068,138.235304,210.6236998,210.6237
1,0.0005,0.00025,0.000750001,-0.000000001,-0.000000001,patch_4,138.235304,138.38754,210.6236998,210.6237
2,0.001,0.000750001,0.001250002,-0.000000001,-0.000000001,patch_5,138.38754,138.539776,210.6236998,210.6237
3,0.0015,0.001250002,0.001749999,-0.000000001,-0.000000001,patch_6,138.539776,138.692011,210.6236998,210.6237
4,0.002,0.001749999,0.00225,-0.000000001,-0.000000001,patch_7,138.692011,138.844247,210.6236998,210.6237
5,0.0025,0.00225,0.00275,-0.000000001,-0.000000001,patch_8,138.844247,138.996483,210.6236998,210.6237
6,0.003,0.00275,0.003250001,-0.000000001,-0.000000001,patch_9,138.996483,139.148719,210.6236998,210.6237
7,0.0035,0.003250001,0.003750002,-0.000000001,-0.000000001,patch_10,139.148719,139.300955,210.6236998,210.6237
8,0.004,0.003750002,0.004249999,-0.000000001,-0.000000001,patch_11,139.300955,139.45319,210.6236998,210.6237
9,0.0045,0.004249999,0.00475,-0.000000001,-0.000000001,patch_12,139.45319,139.605426,210.6236998,210.6237
10,0.005,0.00475,0.00525,-0.000000001,-0.000000001,patch_13,139.605426,139.757662,210.6236998,210.6237
11,0.0055,0.00525,0.005750001,-0.000000001,-0.000000001,patch_14,139.757662,139.909898,210.6236998,210.6237
12,0.006,0.005750001,0.006250002,-0.000000001,-0.000000001,patch_15,139.909898,140.062134,210.6236998,210.6237
13,0.0065,0.006250002,0.006749999,-0.000000001,-0.000000001,patch_16,140.062134,140.214369,210.6236998,210.6237
14,0.007,0.006749999,0.00725,-0.000000001,-0.000000001,patch_17,140.214369,140.366605,210.6236998,210.6237
15,0.0075,0.00725,0.007750001,-0.000000001,-0.000000001,patch_18,140.366605,140.518841,210.6236998,210.6237
16,0.008,0.007750001,0.008250001,-0.000000001,-0.000000001,patch_19,140.518841,140.671077,210.6236998,210.6237
17,0.0085,0.008250001,0.008750002,-0.000000001,-0.000000001,patch_20,140.671077,140.823313,210.6236998,210.6237
18,0.009,0.008750002,0.009249999,-0.000000001,-0.000000001,patch_21,140.823313,140.975548,210.6236998,210.6237
19,0.0095,0.009249999,0.00975,-0.000000001,-0.000000001,patch_22,140.975548,141.127784,210.6236998,210.6237
20,0.01,0.00975,0.010250001,-0.000000001,-0.000000001,patch_23,141.127784,141.28002,210.6236998,210.6237
21,0.0105,0.010250001,0.010750001,-0.000000001,-0.000000001,patch_24,141.28002,141.432256,210.6236998,210.6237
22,0.011,0.010750001,0.011249999,-0.000000001,-0.000000001,patch_25,141.432256,141.584491,210.6236998,210.6237
23,0.0115,0.011249999,0.011749999,-0.000000001,-0.000000001,patch_26,141.584491,141.736727,210.6236998,210.6237
24,0.012,0.011749999,0.01225,-0.000000001,-0.000000001,patch_27,141.736727,141.888963,210.6236998,210.6237
25,0.0125,0.01225,0.012750001,-0.000000001,-0.000000001,patch_28,141.888963,142.041199,210.6236998,210.6237
26,0.013,0.012750001,0.013250001,-0.000000001,-0.000000001,patch_29,142.041199,142.193435,210.6236998,210.6237
27,0.0135,0.013250001,0.013749999,-0.000000001,-0.000000001,patch_30,142.193435,142.34567,210.6236998,210.6237
28,0.014,0.013749999,0.014249999,-0.000000001,-0.000000001,patch_31,142.34567,142.497906,210.6236998,210.6237
29,0.0145,0.014249999,0.01475,-0.000000001,-0.000000001,patch_32,142.497906,142.650142,210.6236998,210.6237
30,0.015,0.01475,0.015250001,-0.000000001,-0.000000001,patch_33,142.650142,142.802378,210.6236998,210.6237
31,0.0155,0.015250001,0.015750001,-0.000000001,-0.000000001,patch_34,142.802378,142.954614,210.6236998,210.6237
32,0.016,0.015750001,0.016249999,-0.000000001,-0.000000001,patch_35,142.954614,143.106849,210.6236998,210.6237
33,0.0165,0.016249999,0.01675,-0.000000001,-0.000000001,patch_36,143.106849,143.259085,210.6236998,210.6237
